record_id,book_id,class_level,subject,page_number,lesson_number,lesson_title,text_source,character_count,word_count,line_count,alpha_ratio,usable_for_rag,training_candidate,quality_flags,source_file,alternate_candidate_count,candidate_text_versions,text_sha256
class6-english-page-0002,class6-english,6,English,2,,,aiReadyText,150,25,3,0.78,True,True,,public\ocr\books\class6-english\pages\page-002.json,0,1,6d635f74c73063e68f68149f6059cc761d5e1d633eda86df0b60be6e63dd1eb2
class6-english-page-0003,class6-english,6,English,3,,,aiReadyText,380,54,11,0.7737,True,True,,public\ocr\books\class6-english\pages\page-003.json,0,1,4d2f807d28ec975db6c346cfc7d8cbf0818410f29cc3a306be1502777a607f85
class6-english-page-0004,class6-english,6,English,4,,,aiReadyText,3170,496,40,0.818,True,True,,public\ocr\books\class6-english\pages\page-004.json,0,1,e2fa0000b2f006dba94e2b570609a96468c6835298c7f4c0e232ca4074aa2524
class6-english-page-0005,class6-english,6,English,5,,,aiReadyText,1201,218,34,0.6311,True,True,,public\ocr\books\class6-english\pages\page-005.json,0,1,dbea27ccf37671f9fea7e81e2b0aa35da1f8d132afa41daa3a846aa8a22e2cc0
class6-english-page-0006,class6-english,6,English,6,,,aiReadyText,525,100,13,0.7771,True,True,,public\ocr\books\class6-english\pages\page-006.json,0,1,b9e87cfb3fc237214986a62b6b806f29c447f16ef6529aacbbaa81a7de80cea4
class6-english-page-0007,class6-english,6,English,7,,,aiReadyText,751,145,16,0.7763,True,True,,public\ocr\books\class6-english\pages\page-007.json,0,1,53034f7c20ae1cb896e649644b7338d2a40d8e1b6a90e46fa5aacce8bef5b50a
class6-english-page-0008,class6-english,6,English,8,,,aiReadyText,648,113,19,0.7577,True,True,,public\ocr\books\class6-english\pages\page-008.json,0,1,348e0f758ebad78c087d8be9389c4b41b8d410956f5c75d6ae21512305f36c6e
class6-english-page-0009,class6-english,6,English,9,,,aiReadyText,788,140,18,0.7728,True,True,,public\ocr\books\class6-english\pages\page-009.json,0,1,cb65c9a5688998dfb0a8ab599a9317c3a6ec2005c7d3e91297ebeb2e91065079
class6-english-page-0010,class6-english,6,English,10,,,aiReadyText,1101,187,24,0.7775,True,True,,public\ocr\books\class6-english\pages\page-010.json,0,1,c44b8ddf519bf2966df26b11d5a7e9abae84df72d8f16eec900aba84bad756f1
class6-english-page-0011,class6-english,6,English,11,,,aiReadyText,1255,243,32,0.7522,True,True,,public\ocr\books\class6-english\pages\page-011.json,0,1,7a13b1d410728187343294079ba4ee22f84213b82f96853785c767228b32afd3
class6-english-page-0012,class6-english,6,English,12,,,aiReadyText,1102,213,18,0.7795,True,True,,public\ocr\books\class6-english\pages\page-012.json,0,1,15308b8675ced82d8f4ab3ae88e6568dac54035d102e1aa9bd8c75c50c394fad
class6-english-page-0013,class6-english,6,English,13,5,Thanks for Your Work,aiReadyText,246,46,6,0.7724,True,True,,public\ocr\books\class6-english\pages\page-013.json,2,2,8570e87fe0604faff519608963a6ed8fdbda9a179f6bc2fe5d0d4ce6feb31117
class6-english-page-0014,class6-english,6,English,14,5,Thanks for Your Work,aiReadyText,904,162,21,0.7788,True,True,,public\ocr\books\class6-english\pages\page-014.json,2,2,bb5c1feff417a7e41ec734451903a0b0976f8841bc960cbfc4644a4c2e391d1b
class6-english-page-0015,class6-english,6,English,15,5,Thanks for Your Work,aiReadyText,987,179,28,0.7741,True,True,,public\ocr\books\class6-english\pages\page-015.json,2,2,d53377727b3af01e5df8c85aab676908b589e23ba5492148abeb9e5bb786f733
class6-english-page-0016,class6-english,6,English,16,5,Thanks for Your Work,aiReadyText,996,180,28,0.7821,True,True,,public\ocr\books\class6-english\pages\page-016.json,2,2,8bced67bdbef64e619bce12741125e942b3f1f96cf941d3e3f7d6627481652ea
class6-english-page-0017,class6-english,6,English,17,6,It Smells Good!,aiReadyText,775,148,16,0.7626,True,True,,public\ocr\books\class6-english\pages\page-017.json,2,2,bb7eac923993072b3a5277327bebd5b5e8affa83073e2ffe457d184490c2b237
class6-english-page-0018,class6-english,6,English,18,6,It Smells Good!,aiReadyText,299,47,8,0.8161,True,True,,public\ocr\books\class6-english\pages\page-018.json,2,2,5257c31e0ad2af05b53a54d941ff2cf8cf50cb5aa42b7c47b973c5454179d9d0
class6-english-page-0019,class6-english,6,English,19,7,Holding Hands,aiReadyText,1082,199,29,0.7773,True,True,,public\ocr\books\class6-english\pages\page-019.json,2,2,82c37ac1182c72792a1592e5587465a9bb2c67f14723dd0686f864b861b4de9d
class6-english-page-0020,class6-english,6,English,20,7,Holding Hands,aiReadyText,1150,221,24,0.7774,True,True,,public\ocr\books\class6-english\pages\page-020.json,2,2,06b8f52ebeb361ef9885ade5cdd66a60e35c3431a0553a5ce542657765621c8d
class6-english-page-0021,class6-english,6,English,21,8,Grocery Shopping,aiReadyText,776,149,15,0.7629,True,True,,public\ocr\books\class6-english\pages\page-021.json,2,2,3f58cfeea8d54d9e6d70e98d0bc845181afd8a609e5b2d73369a2a4ce2681f4e
class6-english-page-0022,class6-english,6,English,22,8,Grocery Shopping,aiReadyText,901,156,23,0.7614,True,True,,public\ocr\books\class6-english\pages\page-022.json,2,2,58dc846e4389b23a20beeecb470f8c3d93c644153d638fb93e49ed864ac5c690
class6-english-page-0023,class6-english,6,English,23,8,Grocery Shopping,aiReadyText,1112,202,24,0.7779,True,True,,public\ocr\books\class6-english\pages\page-023.json,2,2,a73a9f6b10c7b7be427f658995b6fad5e3e4ab86a04fa11ea81cb38f2eec48cb
class6-english-page-0024,class6-english,6,English,24,8,Grocery Shopping,aiReadyText,442,71,18,0.8054,True,True,,public\ocr\books\class6-english\pages\page-024.json,2,2,b661c44026c11bba234a40827553ca2bc4cff60bdb4ca2a7bcde3533ea0f24c9
