index,relative_path,category,extension,size_bytes,estimated_records,parse_status,sensitive_keys,observed_keys,sha256
1,ai-request.json,OTHER,.json,210,1,OK,studentId,lessonNo|requestedTool|selectedLine|studentId|studentKey,852551419477cc9888951bd70294331effeae665e124af4a766053e5b4ef5a1c
2,ai-response-body.txt,OTHER,.txt,10405,1,OK,,,d9111988cd499dd06e8dd908289f0774d36b3f548fee137860ab290475da9a3f
3,ai-response-headers.txt,OTHER,.txt,296,10,OK,,,6d39504f77112eeb47d18a5b6be50ad4c646c777dabcac740e298f98b5d364f2
4,project_structure.txt,OTHER,.txt,2134058,51727,OK,,,6dc8335b43d388b33ca03ff916490ae76c6ba16f67f1252325c6afd0f00405a7
5,public\ocr\books\class6-english\index.json,TEXTBOOK_OCR,.json,29871,115,OK,,aiReadyLineCount|bookId|endPage|image|json|lineCount|pageNumber|pages|source|sourcePdf|startPage|title|totalPdfPages,83efdc087006867fc013b6573454357b7c38e129389a71450abad9c337f92e68
6,public\ocr\books\class6-english\pages\page-001.json,TEXTBOOK_OCR,.json,282,1,OK,,aiReadyLines|aiReadyText|bookId|cleanText|height|image|lines|pageNumber|rawText|source|width,40eca497ff83f6567bc096c57767d6301028a4d0e9990ac6bc5761b3a3d4962a
7,public\ocr\books\class6-english\pages\page-002.json,TEXTBOOK_OCR,.json,2880,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,671bfc6db3d74354d49b293452d40a035f7dc6f95b4c5d623582cb8fabe9e4d4
8,public\ocr\books\class6-english\pages\page-003.json,TEXTBOOK_OCR,.json,10252,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,fa4f4b9de7684bf28497345b086459b77b1c2932a8e83d00179cea54c020e3be
9,public\ocr\books\class6-english\pages\page-004.json,TEXTBOOK_OCR,.json,42379,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,2c4a7a7319f56d010490ac10dfc3463b037350b3ef5938ebb97f1ab2701caf48
10,public\ocr\books\class6-english\pages\page-005.json,TEXTBOOK_OCR,.json,27135,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,e69f9212b4d61662edfd2b268b4255ddfdeb9b5dcaf4f905157ca4da7c8c4856
11,public\ocr\books\class6-english\pages\page-006.json,TEXTBOOK_OCR,.json,13091,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,bab24965f2d0070e119158c347f618f7afaa984dda500efd5f1380c4ce33bf0c
12,public\ocr\books\class6-english\pages\page-007.json,TEXTBOOK_OCR,.json,15946,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,62cbffff8a8b7caa405a02810b8c18692f4a9d5901a4131afb70279462a58ec2
13,public\ocr\books\class6-english\pages\page-008.json,TEXTBOOK_OCR,.json,18360,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,2c35b300e6a2763694c7deb316f087f6b9412e9fab9e8bcd2ed02c0d9d57b8cc
14,public\ocr\books\class6-english\pages\page-009.json,TEXTBOOK_OCR,.json,18149,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,770c729c10a949c79d49458784b5478c645aeadc6dfc32f6505b020672e8869a
15,public\ocr\books\class6-english\pages\page-010.json,TEXTBOOK_OCR,.json,21702,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,8afecfdf2c7a622511b612a11900944a1165b7547089010fe6d3d45d4cda8444
16,public\ocr\books\class6-english\pages\page-011.json,TEXTBOOK_OCR,.json,26786,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,3ac7b85771710c55665a226ffe30bb384c5ff3626d579b721ddaedc15eb0a495
17,public\ocr\books\class6-english\pages\page-012.json,TEXTBOOK_OCR,.json,20807,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,90eb446af6026bcf7458ccbbbc9dadb8f46fe0295eaeebfbf3d93c10b6d81c49
18,public\ocr\books\class6-english\pages\page-013.json,TEXTBOOK_OCR,.json,5877,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,86f5b258af67a76b1088ae1e34f5ae3032f7bee03411571d3f94bdf40d0dcc69
19,public\ocr\books\class6-english\pages\page-014.json,TEXTBOOK_OCR,.json,20635,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,f83c1334d2c70943e2ebf176d5297b75b2873bbe6ca3e8c22c365bc8c01a0943
20,public\ocr\books\class6-english\pages\page-015.json,TEXTBOOK_OCR,.json,25671,1,OK,,aiReady|aiReadyLines|aiReadyText|bbox|bookId|cleanText|confidence|height|id|image|lineNumber|lines|pageNumber|rawText|source|text|width|x|y,dda5ac204cfb0402e37274c20049656ad3ae122e746dada9fd645491d654cfb9
